trade_in_id,customer_id,new_vehicle_id,trade_in_date,trade_in_brand,trade_in_model,trade_in_year,trade_in_mileage,trade_in_value,location
TRD-00560,CUS-04881,VEH-00507,2025-11-17,Kia,Seltos,2013,131426,52000,Gurgaon
TRD-00561,CUS-02641,VEH-01574,2026-04-25,Toyota,Innova,2020,96187,100000,Pune
TRD-00562,CUS-04910,VEH-03454,2025-03-18,Toyota,Innova,2018,143464,206000,Pune
TRD-00563,CUS-03584,VEH-04119,2025-03-12,Hyundai,Creta,2013,134986,83000,Mumbai
TRD-00564,CUS-03304,VEH-02915,2025-11-15,Tata,Nexon,2022,73920,160000,Mumbai
TRD-00565,CUS-01426,VEH-01283,2025-12-18,Renault,Kwid,2019,107762,155000,Chennai
TRD-00566,CUS-00078,VEH-01189,2025-06-23,Maruti Suzuki,Swift,2018,134467,72000,Bengaluru
TRD-00567,CUS-03880,VEH-00111,2025-02-22,Maruti Suzuki,Swift,2017,115043,141000,Hyderabad
TRD-00568,CUS-01200,VEH-04362,2026-10-18,Honda,City,2022,19526,491000,Ahmedabad
TRD-00569,CUS-01761,VEH-03928,2026-06-07,Tata,Tiago,2023,107674,299000,Chennai
TRD-00570,CUS-04265,VEH-04048,2025-01-23,Hyundai,i20,2016,18886,126000,Gurgaon
TRD-00571,CUS-00834,VEH-03619,2026-07-12,Maruti Suzuki,Swift,2015,28946,56000,Chennai
TRD-00572,CUS-04521,VEH-04868,2026-05-13,Ford,EcoSport,2020,131357,111000,Bengaluru
TRD-00573,CUS-01978,VEH-02970,2025-09-30,Kia,Seltos,2020,97804,185000,Chennai
TRD-00574,CUS-04224,VEH-00301,2025-07-08,Mahindra,XUV500,2016,98055,167000,Hyderabad
TRD-00575,CUS-04091,VEH-01540,2025-09-26,Mahindra,XUV500,2013,97956,105000,Gurgaon
TRD-00576,CUS-00339,VEH-00158,2025-04-06,Hyundai,Venue,2014,65565,45000,Mumbai
TRD-00577,CUS-01224,VEH-01889,2026-03-07,Hyundai,i20,2018,48461,200000,Delhi
TRD-00578,CUS-01900,VEH-01260,2025-12-20,Kia,Seltos,2014,36995,151000,Mumbai
TRD-00579,CUS-02581,VEH-04971,2026-03-27,Ford,EcoSport,2019,25191,266000,Bengaluru
TRD-00580,CUS-04139,VEH-04263,2026-03-01,Kia,Seltos,2016,129454,131000,Hyderabad
TRD-00581,CUS-01782,VEH-02579,2026-02-18,Hyundai,Venue,2021,104339,244000,Mumbai
TRD-00582,CUS-03703,VEH-04497,2025-12-24,Ford,EcoSport,2016,51563,111000,Mumbai
TRD-00583,CUS-03216,VEH-01434,2026-10-23,Maruti Suzuki,Dzire,2015,86496,55000,Ahmedabad
TRD-00584,CUS-04577,VEH-00474,2026-04-06,Mahindra,XUV500,2017,80559,151000,Pune
TRD-00585,CUS-03363,VEH-04981,2025-07-25,Mahindra,XUV500,2017,132045,106000,Delhi
TRD-00586,CUS-04136,VEH-03493,2026-04-19,Renault,Kwid,2017,66288,113000,Bengaluru
TRD-00587,CUS-00207,VEH-02025,2025-09-21,Hyundai,Venue,2019,65397,314000,Ahmedabad
TRD-00588,CUS-04461,VEH-02009,2025-01-18,Kia,Seltos,2019,49747,339000,Delhi
TRD-00589,CUS-03688,VEH-04533,2026-05-31,Honda,Amaze,2014,124929,54000,Ahmedabad
TRD-00590,CUS-02438,VEH-03947,2025-02-01,Ford,EcoSport,2015,37294,98000,Ahmedabad
TRD-00591,CUS-03296,VEH-00852,2025-11-01,Honda,City,2023,36972,311000,Mumbai
TRD-00592,CUS-01583,VEH-04298,2026-07-04,Kia,Seltos,2017,122553,157000,Bengaluru
TRD-00593,CUS-01517,VEH-02201,2026-04-27,Tata,Nexon,2014,90313,122000,Delhi
TRD-00594,CUS-02015,VEH-02765,2026-12-20,Hyundai,Venue,2017,20491,229000,Gurgaon
TRD-00595,CUS-03816,VEH-00185,2026-09-02,Ford,EcoSport,2016,130287,115000,Bengaluru
TRD-00596,CUS-02793,VEH-03228,2025-12-03,Maruti Suzuki,Swift,2016,120488,77000,Bengaluru
TRD-00597,CUS-04544,VEH-03236,2026-09-02,Honda,City,2012,80371,64000,Bengaluru
TRD-00598,CUS-04208,VEH-03721,2025-02-25,Hyundai,i20,2017,114294,175000,Chennai
TRD-00599,CUS-02281,VEH-02129,2026-12-11,Kia,Seltos,2015,131677,45000,Hyderabad
TRD-00600,CUS-01828,VEH-04860,2025-12-24,Renault,Kwid,2014,100580,120000,Mumbai
TRD-00601,CUS-04685,VEH-02438,2025-05-14,Ford,EcoSport,2015,67876,46000,Hyderabad
TRD-00602,CUS-02788,VEH-02089,2025-04-21,Hyundai,Creta,2014,126320,87000,Mumbai
TRD-00603,CUS-04198,VEH-03390,2025-11-08,Hyundai,Venue,2023,105083,374000,Pune
TRD-00604,CUS-01741,VEH-00802,2025-12-18,Honda,Amaze,2012,26325,124000,Hyderabad
TRD-00605,CUS-03002,VEH-03332,2025-08-20,Hyundai,Venue,2014,101350,45000,Chennai
TRD-00606,CUS-00299,VEH-01496,2026-08-23,Hyundai,Venue,2016,118529,110000,Bengaluru
TRD-00607,CUS-04857,VEH-00446,2026-09-29,Tata,Tiago,2019,139224,222000,Mumbai
TRD-00608,CUS-04942,VEH-02322,2025-04-13,Hyundai,Creta,2020,109304,171000,Bengaluru
TRD-00609,CUS-00458,VEH-02333,2026-05-12,Maruti Suzuki,Dzire,2015,75616,121000,Mumbai
TRD-00610,CUS-04372,VEH-04855,2025-04-09,Maruti Suzuki,Swift,2023,129310,243000,Chennai
TRD-00611,CUS-02858,VEH-01098,2026-12-12,Hyundai,Creta,2021,90188,204000,Mumbai
TRD-00612,CUS-04052,VEH-02232,2025-04-29,Mahindra,XUV500,2015,104371,101000,Chennai
TRD-00613,CUS-01088,VEH-00298,2026-12-12,Honda,Amaze,2019,108168,145000,Bengaluru
TRD-00614,CUS-00250,VEH-02695,2025-03-26,Tata,Tiago,2018,53367,232000,Hyderabad
TRD-00615,CUS-04966,VEH-01123,2026-12-15,Maruti Suzuki,Dzire,2014,100085,82000,Bengaluru
TRD-00616,CUS-01566,VEH-04062,2025-05-14,Hyundai,i20,2014,19576,87000,Gurgaon
TRD-00617,CUS-04032,VEH-03885,2026-05-08,Renault,Kwid,2016,119136,98000,Bengaluru
TRD-00618,CUS-02939,VEH-00107,2025-07-21,Renault,Kwid,2014,95081,102000,Delhi
TRD-00619,CUS-03618,VEH-00392,2026-09-23,Hyundai,Creta,2012,76663,99000,Bengaluru
TRD-00620,CUS-01379,VEH-02018,2026-11-25,Ford,EcoSport,2018,92750,147000,Pune
TRD-00621,CUS-01899,VEH-03842,2026-02-12,Honda,City,2017,27730,215000,Delhi
TRD-00622,CUS-03982,VEH-04276,2026-04-21,Mahindra,XUV500,2020,44172,196000,Hyderabad
TRD-00623,CUS-02956,VEH-01492,2026-04-27,Kia,Seltos,2014,27254,73000,Chennai
TRD-00624,CUS-01440,VEH-01537,2025-11-06,Kia,Seltos,2020,113765,75000,Chennai
TRD-00625,CUS-01075,VEH-01954,2026-11-20,Hyundai,i20,2019,84433,312000,Gurgaon
TRD-00626,CUS-00894,VEH-04444,2026-05-29,Maruti Suzuki,Dzire,2012,50173,83000,Pune
TRD-00627,CUS-02340,VEH-04852,2026-12-17,Mahindra,XUV500,2012,65224,99000,Pune
TRD-00628,CUS-02570,VEH-01454,2025-05-12,Mahindra,XUV500,2018,137657,162000,Chennai
TRD-00629,CUS-01490,VEH-02888,2026-06-03,Mahindra,XUV500,2021,68242,253000,Delhi
TRD-00630,CUS-00193,VEH-00504,2026-12-16,Hyundai,Venue,2017,40034,67000,Delhi
TRD-00631,CUS-03967,VEH-01425,2026-04-15,Mahindra,XUV500,2020,134599,250000,Chennai
TRD-00632,CUS-00155,VEH-01030,2026-05-18,Hyundai,Creta,2013,30027,145000,Delhi
TRD-00633,CUS-04416,VEH-01677,2025-08-09,Maruti Suzuki,Dzire,2016,96097,102000,Pune
TRD-00634,CUS-01526,VEH-01409,2026-07-13,Maruti Suzuki,Swift,2015,120230,102000,Bengaluru
TRD-00635,CUS-01163,VEH-01281,2025-05-18,Mahindra,XUV500,2017,91184,144000,Hyderabad
TRD-00636,CUS-04822,VEH-03918,2026-10-26,Renault,Kwid,2016,45449,96000,Delhi
TRD-00637,CUS-04957,VEH-01845,2026-01-02,Renault,Kwid,2013,128154,54000,Bengaluru
TRD-00638,CUS-00754,VEH-04168,2025-04-11,Renault,Kwid,2023,111171,418000,Hyderabad
TRD-00639,CUS-00539,VEH-02723,2025-12-19,Hyundai,Venue,2020,120411,109000,Delhi
TRD-00640,CUS-04404,VEH-02759,2025-07-24,Maruti Suzuki,Dzire,2022,138879,127000,Mumbai
TRD-00641,CUS-01951,VEH-03595,2026-12-18,Hyundai,Venue,2020,134904,157000,Hyderabad
TRD-00642,CUS-00064,VEH-03954,2025-08-26,Kia,Seltos,2019,92710,239000,Hyderabad
TRD-00643,CUS-03946,VEH-02457,2026-10-15,Tata,Nexon,2020,111843,135000,Pune
TRD-00644,CUS-02600,VEH-01813,2026-04-08,Maruti Suzuki,Dzire,2020,117515,108000,Delhi
TRD-00645,CUS-00883,VEH-03280,2026-09-23,Toyota,Innova,2023,79934,420000,Delhi
TRD-00646,CUS-00377,VEH-03760,2026-09-30,Maruti Suzuki,Dzire,2023,142998,146000,Chennai
TRD-00647,CUS-01052,VEH-00174,2025-01-06,Tata,Nexon,2017,99148,154000,Bengaluru
TRD-00648,CUS-02136,VEH-03164,2025-12-20,Hyundai,Venue,2012,35189,64000,Ahmedabad
TRD-00649,CUS-04555,VEH-03510,2026-01-09,Hyundai,i20,2013,82136,54000,Gurgaon
TRD-00650,CUS-00145,VEH-00648,2025-05-26,Renault,Kwid,2012,58425,96000,Mumbai
TRD-00651,CUS-02672,VEH-01156,2026-12-18,Toyota,Innova,2014,82740,53000,Chennai
TRD-00652,CUS-04286,VEH-03818,2025-11-02,Hyundai,Creta,2017,98089,63000,Mumbai
TRD-00653,CUS-00136,VEH-04305,2025-05-24,Maruti Suzuki,Swift,2016,33250,162000,Hyderabad
TRD-00654,CUS-03673,VEH-01734,2026-10-24,Hyundai,i20,2019,39949,139000,Hyderabad
TRD-00655,CUS-00679,VEH-02145,2026-08-18,Hyundai,Creta,2021,31490,351000,Delhi
TRD-00656,CUS-00849,VEH-03748,2026-02-22,Hyundai,Venue,2013,140445,45000,Gurgaon
TRD-00657,CUS-03564,VEH-02515,2026-12-16,Toyota,Innova,2013,78251,70000,Ahmedabad
TRD-00658,CUS-03691,VEH-02586,2026-09-21,Maruti Suzuki,Dzire,2015,70029,63000,Hyderabad
TRD-00659,CUS-00353,VEH-02414,2026-06-24,Mahindra,XUV500,2012,27851,143000,Gurgaon
TRD-00660,CUS-02655,VEH-01356,2025-06-23,Maruti Suzuki,Swift,2014,21918,60000,Pune
TRD-00661,CUS-03235,VEH-02542,2025-05-28,Toyota,Innova,2021,58859,167000,Chennai
TRD-00662,CUS-00262,VEH-00434,2025-07-16,Toyota,Innova,2016,68877,138000,Bengaluru
TRD-00663,CUS-01727,VEH-02739,2025-03-13,Ford,EcoSport,2015,124949,45000,Pune
TRD-00664,CUS-04364,VEH-04652,2025-08-16,Tata,Tiago,2014,135241,47000,Gurgaon
TRD-00665,CUS-04301,VEH-04581,2026-03-31,Ford,EcoSport,2016,65770,46000,Chennai
TRD-00666,CUS-00157,VEH-03916,2025-11-14,Toyota,Innova,2015,108425,63000,Gurgaon
TRD-00667,CUS-02464,VEH-04772,2026-02-28,Hyundai,Venue,2017,21568,222000,Delhi
TRD-00668,CUS-03524,VEH-03887,2026-01-09,Ford,EcoSport,2014,73209,102000,Hyderabad
TRD-00669,CUS-00203,VEH-00358,2026-04-13,Maruti Suzuki,Swift,2016,128504,94000,Pune
TRD-00670,CUS-03440,VEH-01514,2026-01-19,Maruti Suzuki,Dzire,2019,50014,286000,Bengaluru
TRD-00671,CUS-01486,VEH-01916,2026-03-12,Mahindra,XUV500,2013,124186,45000,Hyderabad
TRD-00672,CUS-01703,VEH-03276,2026-09-27,Mahindra,XUV500,2014,21842,130000,Hyderabad
TRD-00673,CUS-02481,VEH-04143,2026-11-07,Tata,Tiago,2015,25223,77000,Gurgaon
TRD-00674,CUS-04958,VEH-02699,2025-06-08,Honda,City,2012,80620,52000,Bengaluru
TRD-00675,CUS-03188,VEH-02691,2026-05-28,Hyundai,Venue,2017,92326,186000,Hyderabad
TRD-00676,CUS-01677,VEH-02879,2025-03-16,Hyundai,Venue,2021,24538,378000,Bengaluru
TRD-00677,CUS-04326,VEH-01751,2025-10-29,Hyundai,Venue,2022,85826,400000,Bengaluru
TRD-00678,CUS-00196,VEH-03247,2025-09-18,Hyundai,Venue,2021,31261,335000,Bengaluru
TRD-00679,CUS-02242,VEH-03880,2026-11-16,Toyota,Innova,2020,20547,121000,Bengaluru
TRD-00680,CUS-03168,VEH-04405,2025-05-13,Renault,Kwid,2020,57117,342000,Mumbai
TRD-00681,CUS-04677,VEH-03006,2026-09-01,Hyundai,i20,2022,67439,315000,Chennai
TRD-00682,CUS-01701,VEH-02413,2025-12-11,Ford,EcoSport,2016,74429,111000,Bengaluru
TRD-00683,CUS-01956,VEH-02939,2026-04-13,Honda,City,2018,65542,70000,Hyderabad
TRD-00684,CUS-02277,VEH-04644,2026-08-21,Honda,City,2022,136491,282000,Delhi
TRD-00685,CUS-02713,VEH-04853,2026-07-19,Mahindra,XUV500,2023,112183,351000,Mumbai
TRD-00686,CUS-02522,VEH-02017,2025-10-15,Honda,City,2022,39146,203000,Chennai
TRD-00687,CUS-01804,VEH-04521,2025-06-21,Hyundai,Creta,2013,117978,45000,Mumbai
TRD-00688,CUS-03936,VEH-01284,2026-02-07,Hyundai,i20,2012,30441,119000,Pune
TRD-00689,CUS-04314,VEH-02785,2026-01-30,Maruti Suzuki,Dzire,2021,86459,100000,Chennai
TRD-00690,CUS-02227,VEH-01561,2026-02-28,Maruti Suzuki,Swift,2021,32692,354000,Gurgaon
TRD-00691,CUS-04006,VEH-01584,2026-09-16,Maruti Suzuki,Swift,2019,63029,147000,Chennai
TRD-00692,CUS-01325,VEH-02273,2025-08-28,Tata,Tiago,2019,101099,68000,Gurgaon
TRD-00693,CUS-03380,VEH-00920,2026-08-29,Maruti Suzuki,Dzire,2018,102869,106000,Hyderabad
TRD-00694,CUS-03840,VEH-03706,2026-05-16,Hyundai,Creta,2022,141982,204000,Pune
TRD-00695,CUS-01959,VEH-02195,2025-11-10,Mahindra,XUV500,2018,63321,270000,Chennai
TRD-00696,CUS-01631,VEH-00879,2025-08-09,Hyundai,i20,2012,36636,98000,Delhi
TRD-00697,CUS-00178,VEH-04456,2025-09-22,Toyota,Innova,2020,81723,107000,Bengaluru
TRD-00698,CUS-00971,VEH-00795,2026-07-29,Tata,Nexon,2022,62480,288000,Bengaluru
TRD-00699,CUS-01036,VEH-03926,2026-03-11,Renault,Kwid,2016,29585,145000,Ahmedabad
TRD-00700,CUS-00946,VEH-04294,2026-08-13,Renault,Kwid,2014,112710,48000,Ahmedabad
TRD-00701,CUS-04711,VEH-04148,2026-12-18,Kia,Seltos,2019,140901,178000,Gurgaon
TRD-00702,CUS-03187,VEH-04246,2026-04-24,Toyota,Innova,2016,65622,139000,Ahmedabad
TRD-00703,CUS-04989,VEH-04657,2026-01-06,Hyundai,Creta,2012,24519,45000,Mumbai
TRD-00704,CUS-00455,VEH-04301,2025-06-21,Tata,Nexon,2023,94380,330000,Ahmedabad
TRD-00705,CUS-01617,VEH-00712,2025-01-19,Honda,Amaze,2018,137442,106000,Mumbai
TRD-00706,CUS-02964,VEH-01396,2026-05-26,Ford,EcoSport,2014,95791,71000,Bengaluru
TRD-00707,CUS-03741,VEH-01298,2026-01-11,Maruti Suzuki,Dzire,2012,143034,45000,Gurgaon
TRD-00708,CUS-02241,VEH-02769,2026-03-15,Hyundai,i20,2016,60388,73000,Gurgaon
TRD-00709,CUS-02870,VEH-03549,2026-10-17,Tata,Nexon,2022,56945,160000,Gurgaon
TRD-00710,CUS-02986,VEH-02447,2025-07-27,Hyundai,i20,2015,72832,120000,Delhi
TRD-00711,CUS-02028,VEH-02153,2026-11-20,Tata,Tiago,2012,120806,45000,Delhi
TRD-00712,CUS-03694,VEH-02191,2026-11-09,Honda,Amaze,2014,61991,74000,Bengaluru
TRD-00713,CUS-02248,VEH-03128,2025-08-26,Maruti Suzuki,Dzire,2015,51371,149000,Chennai
TRD-00714,CUS-03364,VEH-01692,2025-06-15,Tata,Nexon,2014,42472,46000,Bengaluru
TRD-00715,CUS-01947,VEH-03552,2025-06-11,Kia,Seltos,2017,57212,257000,Pune
TRD-00716,CUS-03367,VEH-02740,2025-09-23,Honda,Amaze,2016,106993,57000,Delhi
TRD-00717,CUS-03511,VEH-00710,2026-11-29,Tata,Tiago,2021,22741,299000,Chennai
TRD-00718,CUS-01358,VEH-04528,2026-05-21,Hyundai,Creta,2014,90575,114000,Mumbai
TRD-00719,CUS-04042,VEH-03783,2026-06-21,Hyundai,Venue,2015,116978,100000,Gurgaon
TRD-00720,CUS-00995,VEH-00453,2026-04-25,Maruti Suzuki,Dzire,2012,117724,57000,Delhi
TRD-00721,CUS-03368,VEH-01010,2025-02-23,Tata,Nexon,2022,104633,353000,Bengaluru
TRD-00722,CUS-01704,VEH-00782,2026-12-17,Hyundai,i20,2012,120425,71000,Delhi
TRD-00723,CUS-00734,VEH-00558,2025-10-10,Ford,EcoSport,2018,127670,167000,Pune
TRD-00724,CUS-03620,VEH-01181,2025-10-28,Hyundai,Creta,2017,68123,173000,Mumbai
TRD-00725,CUS-02262,VEH-03741,2026-04-19,Hyundai,Creta,2016,138808,53000,Mumbai
TRD-00726,CUS-00378,VEH-04577,2025-10-30,Maruti Suzuki,Dzire,2022,131630,236000,Mumbai
TRD-00727,CUS-04786,VEH-03081,2025-02-03,Toyota,Innova,2021,94067,183000,Chennai
TRD-00728,CUS-04112,VEH-04903,2026-02-02,Maruti Suzuki,Swift,2021,93884,389000,Chennai
TRD-00729,CUS-03299,VEH-02998,2026-10-16,Maruti Suzuki,Swift,2014,86284,101000,Hyderabad
TRD-00730,CUS-01728,VEH-03675,2026-05-04,Maruti Suzuki,Dzire,2016,49249,102000,Hyderabad
TRD-00731,CUS-00147,VEH-00775,2025-07-11,Honda,Amaze,2022,61720,111000,Delhi
TRD-00732,CUS-00649,VEH-04824,2026-12-17,Mahindra,XUV500,2023,88976,371000,Mumbai
TRD-00733,CUS-03829,VEH-02619,2026-02-20,Maruti Suzuki,Dzire,2020,117949,93000,Chennai
TRD-00734,CUS-02107,VEH-02935,2026-10-01,Hyundai,i20,2020,130230,98000,Hyderabad
TRD-00735,CUS-04753,VEH-00579,2026-09-16,Honda,Amaze,2015,19980,159000,Mumbai
TRD-00736,CUS-03893,VEH-01853,2025-08-10,Hyundai,Venue,2012,114200,68000,Chennai
TRD-00737,CUS-01999,VEH-03571,2025-05-18,Hyundai,Venue,2020,136129,174000,Mumbai
TRD-00738,CUS-01339,VEH-00764,2026-02-19,Ford,EcoSport,2018,101538,218000,Hyderabad
TRD-00739,CUS-02566,VEH-00945,2025-10-08,Kia,Seltos,2014,109233,50000,Ahmedabad
TRD-00740,CUS-00190,VEH-03577,2026-09-06,Honda,Amaze,2012,128703,45000,Ahmedabad
TRD-00741,CUS-01642,VEH-04629,2025-06-20,Maruti Suzuki,Swift,2021,64398,284000,Delhi
TRD-00742,CUS-03089,VEH-00401,2026-12-12,Renault,Kwid,2016,63658,54000,Gurgaon
TRD-00743,CUS-00269,VEH-04727,2026-01-05,Kia,Seltos,2013,134605,67000,Bengaluru
TRD-00744,CUS-00751,VEH-02540,2025-07-21,Renault,Kwid,2018,79711,178000,Pune
TRD-00745,CUS-02346,VEH-01066,2026-12-10,Renault,Kwid,2023,139340,309000,Pune
TRD-00746,CUS-00942,VEH-02983,2026-11-27,Tata,Nexon,2021,59217,431000,Mumbai
TRD-00747,CUS-04195,VEH-02772,2025-12-23,Kia,Seltos,2014,91819,70000,Gurgaon
TRD-00748,CUS-02742,VEH-04430,2026-11-28,Hyundai,Venue,2014,111847,58000,Delhi
TRD-00749,CUS-02915,VEH-04173,2026-05-05,Honda,City,2015,82097,75000,Hyderabad
TRD-00750,CUS-01971,VEH-02211,2026-10-06,Mahindra,XUV500,2021,28334,144000,Delhi
TRD-00751,CUS-00272,VEH-02725,2026-01-01,Honda,Amaze,2018,71149,115000,Mumbai
TRD-00752,CUS-00085,VEH-01710,2026-12-19,Honda,City,2013,107814,72000,Delhi
TRD-00753,CUS-01652,VEH-02292,2025-03-27,Tata,Tiago,2018,85942,132000,Gurgaon
TRD-00754,CUS-04756,VEH-01741,2026-04-04,Renault,Kwid,2020,76190,134000,Delhi
TRD-00755,CUS-02940,VEH-01504,2026-11-04,Ford,EcoSport,2018,22376,119000,Ahmedabad
TRD-00756,CUS-02619,VEH-00911,2026-12-20,Kia,Seltos,2013,79707,65000,Gurgaon
TRD-00757,CUS-03925,VEH-00551,2026-07-05,Hyundai,i20,2015,74067,119000,Delhi
TRD-00758,CUS-03942,VEH-01696,2026-02-11,Mahindra,XUV500,2015,78620,45000,Delhi
TRD-00759,CUS-04562,VEH-04859,2025-08-19,Maruti Suzuki,Dzire,2020,52444,279000,Delhi
TRD-00760,CUS-02895,VEH-00691,2026-07-07,Maruti Suzuki,Dzire,2015,63148,61000,Delhi
TRD-00761,CUS-00987,VEH-00861,2025-09-17,Ford,EcoSport,2020,36728,180000,Gurgaon
TRD-00762,CUS-02665,VEH-04177,2026-10-18,Maruti Suzuki,Dzire,2013,115051,99000,Pune
TRD-00763,CUS-02874,VEH-04580,2026-04-19,Hyundai,i20,2012,76357,82000,Pune
TRD-00764,CUS-00901,VEH-01063,2025-02-15,Tata,Tiago,2015,114073,74000,Delhi
TRD-00765,CUS-00478,VEH-02034,2025-12-28,Toyota,Innova,2017,140125,173000,Chennai
TRD-00766,CUS-01282,VEH-04587,2025-05-29,Tata,Tiago,2015,26416,137000,Gurgaon
TRD-00767,CUS-00463,VEH-02331,2025-07-11,Hyundai,Creta,2020,60836,175000,Hyderabad
TRD-00768,CUS-00632,VEH-02737,2026-05-14,Hyundai,Venue,2019,101504,70000,Hyderabad
TRD-00769,CUS-04331,VEH-01577,2025-12-02,Mahindra,XUV500,2020,134393,175000,Delhi
TRD-00770,CUS-01061,VEH-01873,2026-03-13,Hyundai,Venue,2012,34328,124000,Hyderabad
TRD-00771,CUS-00578,VEH-03639,2026-03-29,Tata,Tiago,2020,114442,238000,Gurgaon
TRD-00772,CUS-01149,VEH-00196,2026-06-26,Tata,Nexon,2012,86037,45000,Bengaluru
TRD-00773,CUS-03175,VEH-02984,2025-03-03,Renault,Kwid,2016,135580,156000,Gurgaon
TRD-00774,CUS-04459,VEH-01590,2025-05-21,Maruti Suzuki,Swift,2022,35020,344000,Bengaluru
TRD-00775,CUS-01897,VEH-03603,2026-06-21,Tata,Nexon,2023,42193,283000,Hyderabad
TRD-00776,CUS-01523,VEH-01672,2026-04-16,Tata,Nexon,2013,79248,86000,Delhi
TRD-00777,CUS-00287,VEH-03691,2026-09-16,Maruti Suzuki,Swift,2020,77966,324000,Ahmedabad
TRD-00778,CUS-04338,VEH-04921,2026-10-14,Maruti Suzuki,Dzire,2016,91921,70000,Delhi
TRD-00779,CUS-00317,VEH-01673,2026-05-27,Hyundai,Venue,2019,137393,123000,Gurgaon
TRD-00780,CUS-00998,VEH-04809,2026-06-24,Hyundai,Venue,2020,115573,195000,Bengaluru
TRD-00781,CUS-01383,VEH-00345,2026-12-16,Mahindra,XUV500,2015,18430,96000,Pune
TRD-00782,CUS-03812,VEH-03874,2025-07-15,Honda,City,2021,32672,390000,Ahmedabad
TRD-00783,CUS-04056,VEH-04324,2026-01-10,Honda,City,2019,72056,165000,Mumbai
TRD-00784,CUS-01760,VEH-03191,2025-09-26,Hyundai,Venue,2020,108497,106000,Ahmedabad
TRD-00785,CUS-04377,VEH-03767,2026-06-13,Hyundai,Venue,2023,80267,236000,Chennai
TRD-00786,CUS-00775,VEH-02210,2025-09-12,Renault,Kwid,2023,120360,161000,Bengaluru
TRD-00787,CUS-02716,VEH-04320,2026-12-19,Honda,Amaze,2017,135712,93000,Hyderabad
TRD-00788,CUS-00177,VEH-02137,2026-03-02,Hyundai,Creta,2020,50646,210000,Pune
TRD-00789,CUS-02255,VEH-03253,2026-11-30,Maruti Suzuki,Dzire,2015,70104,47000,Delhi
TRD-00790,CUS-00464,VEH-03857,2025-08-18,Mahindra,XUV500,2015,50027,116000,Mumbai
TRD-00791,CUS-00513,VEH-00533,2026-04-03,Maruti Suzuki,Dzire,2023,80070,430000,Chennai
TRD-00792,CUS-00608,VEH-01909,2025-04-10,Hyundai,i20,2020,82633,94000,Hyderabad
TRD-00793,CUS-02605,VEH-01607,2026-06-04,Tata,Nexon,2023,107877,355000,Hyderabad
TRD-00794,CUS-01499,VEH-00278,2026-04-13,Honda,Amaze,2023,21969,215000,Gurgaon
TRD-00795,CUS-04215,VEH-03176,2026-05-26,Tata,Nexon,2019,88389,155000,Mumbai
TRD-00796,CUS-04561,VEH-04395,2026-07-11,Mahindra,XUV500,2015,76226,80000,Gurgaon
TRD-00797,CUS-03805,VEH-00733,2026-05-06,Hyundai,Creta,2017,136712,118000,Ahmedabad
TRD-00798,CUS-00225,VEH-00364,2025-11-20,Maruti Suzuki,Swift,2020,135015,161000,Ahmedabad
TRD-00799,CUS-01641,VEH-04307,2026-09-14,Mahindra,XUV500,2020,30636,363000,Delhi
TRD-00800,CUS-01687,VEH-04396,2026-04-16,Kia,Seltos,2017,50758,189000,Delhi
TRD-00801,CUS-03471,VEH-03172,2025-11-06,Hyundai,Venue,2018,95340,119000,Bengaluru
TRD-00802,CUS-02999,VEH-03062,2026-11-04,Renault,Kwid,2014,23601,78000,Pune
TRD-00803,CUS-01208,VEH-04236,2025-02-22,Mahindra,XUV500,2016,124721,117000,Ahmedabad
TRD-00804,CUS-02697,VEH-03813,2026-02-10,Mahindra,XUV500,2013,62651,61000,Chennai
TRD-00805,CUS-00158,VEH-01890,2026-05-27,Maruti Suzuki,Swift,2023,68961,131000,Gurgaon
TRD-00806,CUS-00395,VEH-04325,2025-06-21,Kia,Seltos,2016,68556,59000,Gurgaon
TRD-00807,CUS-01513,VEH-02624,2025-09-26,Honda,City,2023,28152,142000,Hyderabad
TRD-00808,CUS-01942,VEH-03142,2025-07-27,Honda,City,2016,75347,81000,Pune
TRD-00809,CUS-00956,VEH-02876,2026-05-08,Hyundai,Creta,2015,117258,48000,Hyderabad
TRD-00810,CUS-03913,VEH-02230,2026-11-24,Tata,Tiago,2016,84032,144000,Hyderabad
TRD-00811,CUS-00391,VEH-04626,2025-02-11,Toyota,Innova,2019,89373,276000,Ahmedabad
TRD-00812,CUS-04396,VEH-01206,2025-12-12,Tata,Tiago,2015,123248,104000,Delhi
TRD-00813,CUS-04551,VEH-01580,2026-05-31,Tata,Nexon,2012,110208,59000,Delhi
TRD-00814,CUS-02322,VEH-02187,2025-03-29,Mahindra,XUV500,2022,61492,257000,Bengaluru
TRD-00815,CUS-02515,VEH-04041,2026-01-24,Kia,Seltos,2021,24453,362000,Ahmedabad
TRD-00816,CUS-00563,VEH-03991,2026-04-03,Renault,Kwid,2019,56243,312000,Gurgaon
TRD-00817,CUS-02495,VEH-03403,2025-11-29,Kia,Seltos,2020,50900,356000,Mumbai
TRD-00818,CUS-03743,VEH-04318,2026-05-10,Tata,Nexon,2023,49940,536000,Mumbai
TRD-00819,CUS-00112,VEH-03943,2026-04-20,Ford,EcoSport,2017,72589,214000,Pune
TRD-00820,CUS-03650,VEH-02956,2025-04-16,Hyundai,Venue,2017,81157,219000,Chennai
